lat,lon,2020-01-22 00:00:00,Date,Value
11.8251,42.5903,0,country,"('Djibouti', 'Total')"
18.7357,-70.1627,0,country,"('Dominican Republic', 'Total')"
-1.8312,-78.1834,0,country,"('Ecuador', 'Total')"
26.0,30.0,0,country,"('Egypt', 'Total')"
13.7942,-88.8965,0,country,"('El Salvador', 'Total')"
1.5,10.0,0,country,"('Equatorial Guinea', 'Total')"
15.1794,39.7823,0,country,"('Eritrea', 'Total')"
58.5953,25.0136,0,country,"('Estonia', 'Total')"
-26.5225,31.4659,0,country,"('Eswatini', 'Total')"
9.145,40.4897,0,country,"('Ethiopia', 'Total')"
-17.7134,178.065,0,country,"('Fiji', 'Total')"
64.0,26.0,0,country,"('Finland', 'Total')"
3.9339,-53.1258,0,country,"('France', 'French Guiana')"
-17.6797,149.4068,0,country,"('France', 'French Polynesia')"
16.25,-61.5833,0,country,"('France', 'Guadeloupe')"
-12.8275,45.1662,0,country,"('France', 'Mayotte')"
-20.9043,165.618,0,country,"('France', 'New Caledonia')"
-21.1351,55.2471,0,country,"('France', 'Reunion')"
17.9,-62.8333,0,country,"('France', 'Saint Barthelemy')"
18.0708,-63.0501,0,country,"('France', 'St Martin')"
14.6415,-61.0242,0,country,"('France', 'Martinique')"
46.2276,2.2137,0,country,"('France', 'Total')"
-0.8037,11.6094,0,country,"('Gabon', 'Total')"
13.4432,-15.3101,0,country,"('Gambia', 'Total')"
42.3154,43.3569,0,country,"('Georgia', 'Total')"
51.0,9.0,0,country,"('Germany', 'Total')"
7.9465,-1.0232,0,country,"('Ghana', 'Total')"
39.0742,21.8243,0,country,"('Greece', 'Total')"
15.7835,-90.2308,0,country,"('Guatemala', 'Total')"
9.9456,-9.6966,0,country,"('Guinea', 'Total')"
5.0,-58.75,0,country,"('Guyana', 'Total')"
18.9712,-72.2852,0,country,"('Haiti', 'Total')"
41.9029,12.4534,0,country,"('Holy See', 'Total')"
15.2,-86.2419,0,country,"('Honduras', 'Total')"
47.1625,19.5033,0,country,"('Hungary', 'Total')"
64.9631,-19.0208,0,country,"('Iceland', 'Total')"
21.0,78.0,0,country,"('India', 'Total')"
-0.7893,113.9213,0,country,"('Indonesia', 'Total')"
32.0,53.0,0,country,"('Iran', 'Total')"
33.0,44.0,0,country,"('Iraq', 'Total')"
53.1424,-7.6921,0,country,"('Ireland', 'Total')"
31.0,35.0,0,country,"('Israel', 'Total')"
43.0,12.0,0,country,"('Italy', 'Total')"
18.1096,-77.2975,0,country,"('Jamaica', 'Total')"
36.0,138.0,2,country,"('Japan', 'Total')"
31.24,36.51,0,country,"('Jordan', 'Total')"
48.0196,66.9237,0,country,"('Kazakhstan', 'Total')"
-0.0236,37.9062,0,country,"('Kenya', 'Total')"
36.0,128.0,1,country,"('Korea, South', 'Total')"
29.5,47.75,0,country,"('Kuwait', 'Total')"
41.2044,74.7661,0,country,"('Kyrgyzstan', 'Total')"
56.8796,24.6032,0,country,"('Latvia', 'Total')"
33.8547,35.8623,0,country,"('Lebanon', 'Total')"
6.4281,-9.4295,0,country,"('Liberia', 'Total')"
47.14,9.55,0,country,"('Liechtenstein', 'Total')"
55.1694,23.8813,0,country,"('Lithuania', 'Total')"
49.8153,6.1296,0,country,"('Luxembourg', 'Total')"
-18.7669,46.8691,0,country,"('Madagascar', 'Total')"
2.5,112.5,0,country,"('Malaysia', 'Total')"
3.2028,73.2207,0,country,"('Maldives', 'Total')"
35.9375,14.3754,0,country,"('Malta', 'Total')"
21.0079,10.9408,0,country,"('Mauritania', 'Total')"
-20.2,57.5,0,country,"('Mauritius', 'Total')"
23.6345,-102.5528,0,country,"('Mexico', 'Total')"
47.4116,28.3699,0,country,"('Moldova', 'Total')"
43.7333,7.4167,0,country,"('Monaco', 'Total')"
46.8625,103.8467,0,country,"('Mongolia', 'Total')"
42.5,19.3,0,country,"('Montenegro', 'Total')"
31.7917,-7.0926,0,country,"('Morocco', 'Total')"
-22.9576,18.4904,0,country,"('Namibia', 'Total')"
28.1667,84.25,0,country,"('Nepal', 'Total')"
12.5186,-70.0358,0,country,"('Netherlands', 'Aruba')"
12.1696,-68.99,0,country,"('Netherlands', 'Curacao')"
18.0425,-63.0548,0,country,"('Netherlands', 'Sint Maarten')"
52.1326,5.2913,0,country,"('Netherlands', 'Total')"
-40.9006,174.886,0,country,"('New Zealand', 'Total')"
12.8654,-85.2072,0,country,"('Nicaragua', 'Total')"
17.6078,8.0817,0,country,"('Niger', 'Total')"
9.082,8.6753,0,country,"('Nigeria', 'Total')"
41.6086,21.7453,0,country,"('North Macedonia', 'Total')"
60.472,8.4689,0,country,"('Norway', 'Total')"
21.0,57.0,0,country,"('Oman', 'Total')"
30.3753,69.3451,0,country,"('Pakistan', 'Total')"
8.538,-80.7821,0,country,"('Panama', 'Total')"
-6.315,143.9555,0,country,"('Papua New Guinea', 'Total')"
-23.4425,-58.4438,0,country,"('Paraguay', 'Total')"
-9.19,-75.0152,0,country,"('Peru', 'Total')"
13.0,122.0,0,country,"('Philippines', 'Total')"
51.9194,19.1451,0,country,"('Poland', 'Total')"
39.3999,-8.2245,0,country,"('Portugal', 'Total')"
25.3548,51.1839,0,country,"('Qatar', 'Total')"
45.9432,24.9668,0,country,"('Romania', 'Total')"
60.0,90.0,0,country,"('Russia', 'Total')"
-1.9403,29.8739,0,country,"('Rwanda', 'Total')"
13.9094,-60.9789,0,country,"('Saint Lucia', 'Total')"
12.9843,-61.2872,0,country,"('Saint Vincent and the Grenadines', 'Total')"
43.9424,12.4578,0,country,"('San Marino', 'Total')"
24.0,45.0,0,country,"('Saudi Arabia', 'Total')"
14.4974,-14.4524,0,country,"('Senegal', 'Total')"
44.0165,21.0059,0,country,"('Serbia', 'Total')"
-4.6796,55.492,0,country,"('Seychelles', 'Total')"
1.2833,103.8333,0,country,"('Singapore', 'Total')"
48.669,19.699,0,country,"('Slovakia', 'Total')"
46.1512,14.9955,0,country,"('Slovenia', 'Total')"
5.1521,46.1996,0,country,"('Somalia', 'Total')"
-30.5595,22.9375,0,country,"('South Africa', 'Total')"
40.0,-4.0,0,country,"('Spain', 'Total')"
7.0,81.0,0,country,"('Sri Lanka', 'Total')"
12.8628,30.2176,0,country,"('Sudan', 'Total')"
3.9193,-56.0278,0,country,"('Suriname', 'Total')"
63.0,16.0,0,country,"('Sweden', 'Total')"
46.8182,8.2275,0,country,"('Switzerland', 'Total')"
23.7,121.0,1,country,"('Taiwan*', 'Total')"
-6.369,34.8888,0,country,"('Tanzania', 'Total')"
15.0,101.0,2,country,"('Thailand', 'Total')"
8.6195,0.8248,0,country,"('Togo', 'Total')"
10.6918,-61.2225,0,country,"('Trinidad and Tobago', 'Total')"
34.0,9.0,0,country,"('Tunisia', 'Total')"
38.9637,35.2433,0,country,"('Turkey', 'Total')"
1.0,32.0,0,country,"('Uganda', 'Total')"
48.3794,31.1656,0,country,"('Ukraine', 'Total')"
24.0,54.0,0,country,"('United Arab Emirates', 'Total')"
32.3078,-64.7505,0,country,"('United Kingdom', 'Bermuda')"
19.3133,-81.2546,0,country,"('United Kingdom', 'Cayman Islands')"
49.3723,-2.3644,0,country,"('United Kingdom', 'Channel Islands')"
