id,lat,lon,Date,Value
"Bacon, Georgia, US",31.55456473,-82.45936528,2020-04-01,6.0
"Baker, Florida, US",30.33060121,-82.28467476,2020-04-01,9.0
"Baker, Georgia, US",31.32669878,-84.44218806,2020-04-01,4.0
"Baldwin, Alabama, US",30.72774991,-87.72207058,2020-04-01,20.0
"Baldwin, Georgia, US",33.06882326,-83.24701748,2020-04-01,6.0
"Baltimore, Maryland, US",39.45784712,-76.62911955,2020-04-01,289.0
"Baltimore City, Maryland, US",39.30211911,-76.61151012,2020-04-01,221.0
"Bamberg, South Carolina, US",33.21927586,-81.05659969,2020-04-01,4.0
"Banks, Georgia, US",34.35607081,-83.49644388,2020-04-01,3.0
"Bannock, Idaho, US",42.67002716,-112.2233311,2020-04-01,4.0
"Barbour, West Virginia, US",39.1307219,-80.00350858,2020-04-01,1.0
"Barnes, North Dakota, US",46.93579637,-98.06605978,2020-04-01,2.0
"Barnstable, Massachusetts, US",41.72980578,-70.28854339,2020-04-01,255.0
"Barnwell, South Carolina, US",33.26679302,-81.43584352,2020-04-01,2.0
"Barren, Kentucky, US",36.96469836,-85.93338945,2020-04-01,1.0
"Barrow, Georgia, US",33.99148694,-83.71436292,2020-04-01,20.0
"Barry, Michigan, US",42.59513984,-85.30834519,2020-04-01,2.0
"Barry, Missouri, US",36.70978521,-93.82919888,2020-04-01,1.0
"Bartholomew, Indiana, US",39.20744865,-85.89558181,2020-04-01,13.0
"Barton, Kansas, US",38.47889676,-98.75636726,2020-04-01,1.0
"Bartow, Georgia, US",34.23732119,-84.83887523,2020-04-01,144.0
"Bastrop, Texas, US",30.10370699,-97.31206354,2020-04-01,8.0
"Bates, Missouri, US",38.25271289,-94.34113157,2020-04-01,2.0
"Baxter, Arkansas, US",36.28784385,-92.33782872,2020-04-01,1.0
"Bay, Florida, US",30.26548745,-85.62122584,2020-04-01,10.0
"Bay, Michigan, US",43.70639106,-83.98731479,2020-04-01,10.0
"Bayfield, Wisconsin, US",46.52868768,-91.19716729,2020-04-01,3.0
"Beadle, South Dakota, US",44.41464384,-98.27858469,2020-04-01,21.0
"Beaufort, North Carolina, US",35.48531943,-76.84325809,2020-04-01,7.0
"Beaufort, South Carolina, US",32.39226291,-80.72619758,2020-04-01,101.0
"Beauregard, Louisiana, US",30.64836518,-93.34173616,2020-04-01,8.0
"Beaver, Pennsylvania, US",40.6825484,-80.34921611,2020-04-01,54.0
"Beckham, Oklahoma, US",35.26862449,-99.68128023,2020-04-01,1.0
"Bedford, Pennsylvania, US",40.00522157,-78.48998442,2020-04-01,3.0
"Bedford, Tennessee, US",35.51123746,-86.45549096,2020-04-01,4.0
"Bedford, Virginia, US",37.3080028,-79.5281964,2020-04-01,3.0
"Belknap, New Hampshire, US",43.51637314,-71.41684235,2020-04-01,12.0
"Bell, Texas, US",31.03736027,-97.4785025,2020-04-01,46.0
"Belmont, Ohio, US",40.01625942,-80.9924051,2020-04-01,11.0
"Beltrami, Minnesota, US",47.97373527,-94.93732139,2020-04-01,4.0
"Ben Hill, Georgia, US",31.76095874,-83.22145359,2020-04-01,3.0
