id,lat,lon,Date,Value
"Baltimore, Maryland",39.45784712,-76.62911955,2020-04-01,289.0
"Baltimore City, Maryland",39.30211911,-76.61151012,2020-04-01,221.0
"Bamberg, South Carolina",33.21927586,-81.05659969,2020-04-01,4.0
"Banks, Georgia",34.35607081,-83.49644388,2020-04-01,3.0
"Bannock, Idaho",42.67002716,-112.2233311,2020-04-01,4.0
"Barbour, West Virginia",39.1307219,-80.00350858,2020-04-01,1.0
"Barnes, North Dakota",46.93579637,-98.06605978,2020-04-01,2.0
"Barnstable, Massachusetts",41.72980578,-70.28854339,2020-04-01,255.0
"Barnwell, South Carolina",33.26679302,-81.43584352,2020-04-01,2.0
"Barren, Kentucky",36.96469836,-85.93338945,2020-04-01,1.0
"Barrow, Georgia",33.99148694,-83.71436292,2020-04-01,20.0
"Barry, Michigan",42.59513984,-85.30834519,2020-04-01,2.0
"Barry, Missouri",36.70978521,-93.82919888,2020-04-01,1.0
"Bartholomew, Indiana",39.20744865,-85.89558181,2020-04-01,13.0
"Barton, Kansas",38.47889676,-98.75636726,2020-04-01,1.0
"Bartow, Georgia",34.23732119,-84.83887523,2020-04-01,144.0
"Bastrop, Texas",30.10370699,-97.31206354,2020-04-01,8.0
"Bates, Missouri",38.25271289,-94.34113157,2020-04-01,2.0
"Baxter, Arkansas",36.28784385,-92.33782872,2020-04-01,1.0
"Bay, Florida",30.26548745,-85.62122584,2020-04-01,10.0
"Bay, Michigan",43.70639106,-83.98731479,2020-04-01,10.0
"Bayfield, Wisconsin",46.52868768,-91.19716729,2020-04-01,3.0
"Beadle, South Dakota",44.41464384,-98.27858469,2020-04-01,21.0
"Beaufort, North Carolina",35.48531943,-76.84325809,2020-04-01,7.0
"Beaufort, South Carolina",32.39226291,-80.72619758,2020-04-01,101.0
"Beauregard, Louisiana",30.64836518,-93.34173616,2020-04-01,8.0
"Beaver, Pennsylvania",40.6825484,-80.34921611,2020-04-01,54.0
"Beckham, Oklahoma",35.26862449,-99.68128023,2020-04-01,1.0
"Bedford, Pennsylvania",40.00522157,-78.48998442,2020-04-01,3.0
"Bedford, Tennessee",35.51123746,-86.45549096,2020-04-01,4.0
"Bedford, Virginia",37.3080028,-79.5281964,2020-04-01,3.0
"Belknap, New Hampshire",43.51637314,-71.41684235,2020-04-01,12.0
"Bell, Texas",31.03736027,-97.4785025,2020-04-01,46.0
"Belmont, Ohio",40.01625942,-80.9924051,2020-04-01,11.0
"Beltrami, Minnesota",47.97373527,-94.93732139,2020-04-01,4.0
"Ben Hill, Georgia",31.76095874,-83.22145359,2020-04-01,3.0
"Bennington, Vermont",43.03519828,-73.09048868,2020-04-01,18.0
"Benton, Arkansas",36.33644656,-94.25680817,2020-04-01,39.0
"Benton, Indiana",40.60626947,-87.31093999,2020-04-01,1.0
"Benton, Iowa",42.08011739,-92.06463573,2020-04-01,7.0
"Benton, Minnesota",45.69804958,-93.99514135,2020-04-01,1.0
"Benton, Mississippi",34.81681228,-89.18945516,2020-04-01,4.0
"Benton, Missouri",38.29503305,-93.28756116,2020-04-01,3.0
"Benton, Oregon",44.49167306,-123.4316987,2020-04-01,13.0
"Benton, Tennessee",36.07110411,-88.06849355,2020-04-01,4.0
"Benton, Washington",46.23946995,-119.5120834,2020-04-01,108.0
"Bergen, New Jersey",40.96010917,-74.07164325,2020-04-01,3494.0
"Berkeley, South Carolina",33.20222596,-79.94654523,2020-04-01,18.0
"Berkeley, West Virginia",39.46704621,-78.02414609,2020-04-01,21.0
"Berks, Pennsylvania",40.41570541,-75.92457766,2020-04-01,151.0
"Berkshire, Massachusetts",42.37428441,-73.20524838,2020-04-01,183.0
"Bernalillo, New Mexico",35.05163625,-106.6703554,2020-04-01,129.0
"Berrien, Georgia",31.27590016,-83.22529920000002,2020-04-01,2.0
"Berrien, Michigan",41.95447397,-86.41313079999998,2020-04-01,38.0
"Bertie, North Carolina",36.0688473,-76.96545943,2020-04-01,6.0
"Bexar, Texas",29.44928723,-98.52019748,2020-04-01,207.0
"Bibb, Alabama",32.99642064,-87.12511459999996,2020-04-01,3.0
"Bibb, Georgia",32.80904227,-83.70489165,2020-04-01,22.0
"Bienville, Louisiana",32.34569994,-93.05398492,2020-04-01,6.0
"Big Stone, Minnesota",45.42712824,-96.41403739,2020-04-01,1.0
"Bingham, Idaho",43.21672879999999,-112.3978437,2020-04-01,2.0
"Black Hawk, Iowa",42.4704581,-92.30524729,2020-04-01,7.0
"Blaine, Idaho",43.4085812,-113.9752658,2020-04-01,228.0
"Blair, Pennsylvania",40.47961444,-78.34917412,2020-04-01,4.0
"Blanco, Texas",30.26640707,-98.3999852,2020-04-01,1.0
